SEID,LUID,Full Name,Name Type,IMO Number,Current Believed Flag,Previous Flags,Type,Tonnage,Length,Year Built,Current Owner/Operators,Previous Owner/Operators,Other Information,UK Statement of Reasons
#0048022,RUS2346,DELVINA,Primary Name,9331153.0,Barbados,,Oil Tanker,,,2007.0,ATOS REMOTE SOLUTIONS,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9331153 ('DELVINA') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, DELVINA is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048023,RUS2347,BRATSK,Primary Name,9411020.0,Russia,,Other,,,2009.0,INVEST FLEET LTD; SOVCOMFLOT,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction","IMO 9411020 ('BRATSK') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine and/or to obtain a benefit from or support the Government of Russia. Namely, BRATSK is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048025,RUS2348,VALOUR,Primary Name,9410894.0,Guinea,,Oil Tanker,,,2009.0,HENNESEA HOLDINGS LTD,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9410894 ('VALOUR') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine and/or to obtain a benefit from or support the Government of Russia. Namely, VALOUR is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048027,RUS2349,AGNES,Primary Name,9314167.0,Panama,,,,,2007.0,ATBARA MARITIME CORP,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9314167 ('AGNES') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, AGNES is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048028,RUS2350,HS EVERETT,Primary Name,9410870.0,,,Oil Tanker,62775.0,,2008.0,,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9410870 ('HS EVERETT') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, HS EVERETT is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048029,RUS2351,ANTARKTIKA,Primary Name,9413559.0,Russia,Gabon; Liberia,Oil Tanker,62433.0,,2009.0,Invest Fleet Ltd; NS Antarctic Shipping Inc; Sovcomflot,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9413559 ('ANTARKTIKA') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, ANTARKTIKA is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048035,RUS2352,KRASNOYARSK,Primary Name,9312896.0,Russia,,Oil Tanker,57248.0,,2007.0,,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9312896 ('KRASNOYARSK') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, KRASNOYARSK has been involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048036,RUS2353,VIKTOR BAKAEV,Primary Name,9610810.0,Russia,Liberia,Oil Tanker,66855.0,,2013.0,Sovcomflot; South Fleet Ltd,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9610810 ('VIKTOR BAKAEV') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, VIKTOR BAKAEV is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048038,RUS2353,VIKTOR BAKAEV,Primary Name,9610810.0,Russia,Liberia,Oil Tanker,66855.0,,2013.0,Streymoy Shipping Ltd,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9610810 ('VIKTOR BAKAEV') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, VIKTOR BAKAEV is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048039,RUS2355,FENG SHOU,Primary Name,9402471.0,Panama,,Oil Tanker,63294.0,,2009.0,,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9402471 ('FENG SHOU') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine, and/or to obtain a benefit from or support the Government of Russia. Namely, FENG SHOU is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
